looptime,ax,ay,az,gx,gy,gz,baro_temp,baro_pressure
449120,-0.16,-0.97,0.16,0.74,0.9,-0.36,30.26,96765.65
449155,-0.16,-0.97,0.16,0.09,0.38,-0.3,30.26,96766.12
449188,-0.15,-0.97,0.17,-0.01,-0.29,-0.29,30.26,96766.12
449228,-0.16,-0.97,0.16,-0.45,0.08,-0.29,30.25,96766.72
449263,-0.16,-0.96,0.16,-0.52,-0.75,-0.1,30.25,96767.71
449297,-0.16,-0.97,0.15,-0.4,-0.92,-0.15,30.25,96767.71
449331,-0.16,-0.97,0.16,-0.01,0.06,0.11,30.25,96769.17
449367,-0.15,-0.97,0.16,-0.25,-0.84,-0.01,30.25,96769.17
449402,-0.16,-0.97,0.15,0.09,-0.26,0.13,30.25,96768.38
449435,-0.16,-0.97,0.16,0.44,0.29,-0.32,30.25,96768.38
449469,-0.16,-0.97,0.16,0.54,0.31,-0.38,30.24,96767.78
449505,-0.16,-0.97,0.16,0.79,0.57,-0.58,30.24,96767.78
449544,-0.16,-0.96,0.16,0.54,0.4,-0.39,30.24,96768.94
449577,-0.15,-0.96,0.16,0.39,0.12,-0.12,30.24,96768.94
449611,-0.16,-0.97,0.17,-0.17,0.55,-0.13,30.24,96767.61
449647,-0.15,-0.97,0.17,-0.59,-0.55,0.08,30.24,96767.61
449682,-0.15,-0.97,0.16,-0.8,-0.98,0.31,30.24,96768.91
449715,-0.16,-0.97,0.16,-0.68,-1.02,0.43,30.24,96768.91
449750,-0.15,-0.96,0.15,-0.26,-0.66,0.46,30.24,96767.08
449785,-0.16,-0.97,0.16,-0.13,-0.46,0.4,30.24,96768.94
449823,-0.16,-0.96,0.15,0.51,0.05,0.02,30.24,96768.94
449859,-0.16,-0.97,0.15,0.9,0.32,-0.48,30.23,96767.05
449894,-0.16,-0.97,0.16,0.96,0.72,-0.38,30.23,96767.05
449929,-0.16,-0.97,0.16,0.86,0.83,-0.3,30.23,96764.19
449964,-0.15,-0.97,0.16,0.8,0.66,-0.18,30.23,96764.19
449998,-0.15,-0.97,0.17,0.53,0.26,-0.33,30.23,96765.86
450033,-0.16,-0.97,0.16,0.03,0.05,-0.21,30.23,96765.86
450068,-0.15,-0.97,0.16,-0.39,-0.56,0.37,30.23,96765.05
450102,-0.16,-0.97,0.16,-0.65,-0.49,0.4,30.23,96765.05
